iter	MAE
0	4376.957208
1	4283.644594
2	4192.98636
3	4099.485836
4	4016.086454
5	3931.549309
6	3854.80693
7	3772.441059
8	3694.617401
9	3613.830906
10	3544.525699
11	3474.35453
12	3402.795804
13	3338.07348
14	3273.42663
15	3209.085016
16	3151.483043
17	3090.422731
18	3029.751433
19	2973.159613
20	2917.616435
21	2862.069011
22	2803.773887
23	2750.422678
24	2703.666806
25	2658.588327
26	2615.651168
27	2567.291347
28	2522.828133
29	2480.461305
30	2440.823686
31	2403.784162
32	2365.325465
33	2326.184987
34	2290.240855
35	2251.437685
36	2214.893443
37	2187.108202
38	2157.95298
39	2124.621762
40	2094.293169
41	2061.164443
42	2030.113054
43	1999.726323
44	1970.007198
45	1941.933565
46	1912.156045
47	1885.425451
48	1862.135178
49	1837.024108
50	1812.874788
51	1787.036017
52	1764.705155
53	1740.730743
54	1718.447114
55	1697.546953
56	1681.918224
57	1660.266783
58	1645.150007
59	1629.35022
60	1610.743531
61	1598.155253
62	1580.730071
63	1566.506042
64	1549.513594
65	1534.063958
66	1522.289193
67	1505.299315
68	1490.238114
69	1474.194969
70	1458.91896
71	1444.933313
72	1433.815121
73	1422.099627
74	1409.372322
75	1396.004075
76	1383.517846
77	1372.011391
78	1361.027485
79	1352.46441
80	1342.160364
81	1332.150712
82	1322.659124
83	1314.85761
84	1308.230267
85	1298.018709
86	1290.983485
87	1283.900633
88	1276.77931
89	1267.881296
90	1258.998375
91	1250.532305
92	1243.036503
93	1233.668767
94	1226.789789
95	1219.573626
96	1211.27972
97	1204.45365
98	1197.119601
99	1189.306485
100	1182.414032
101	1175.823227
102	1170.665222
103	1164.536866
104	1158.986044
105	1151.826225
106	1147.186108
107	1142.536088
108	1136.41923
109	1131.155038
110	1125.726808
111	1122.260324
112	1118.846708
113	1115.312721
114	1110.96712
115	1107.66778
116	1103.43061
117	1099.082374
118	1095.48117
119	1090.12072
120	1085.786807
121	1084.436361
122	1080.088651
123	1075.654794
124	1071.741571
125	1067.949095
126	1065.008165
127	1061.791451
128	1057.660891
129	1054.180604
130	1050.44823
131	1047.497814
132	1043.935704
133	1040.358599
134	1037.31754
135	1034.64861
136	1031.454859
137	1028.060608
138	1024.860717
139	1021.552922
140	1018.200817
141	1014.491822
142	1011.190196
143	1007.643874
144	1003.617767
145	1000.857833
146	998.2115461
147	995.4870338
148	992.6262908
149	990.8778018
150	987.2531028
151	985.4746137
152	982.0477431
153	980.730718
154	978.4170298
155	976.1222964
156	973.3504636
157	971.4803006
158	968.0850261
159	965.742886
160	963.022937
161	960.6140512
162	959.2838122
163	957.7582238
164	955.041462
165	952.7862568
166	950.5860551
167	949.7508535
168	947.9152319
169	945.3032645
170	941.9790563
171	939.8545888
172	937.8913161
173	934.4873978
174	931.7395477
175	929.440154
176	927.5383429
177	925.6574995
178	922.6342336
179	921.2845855
180	919.5879946
181	917.4520046
182	915.5992933
183	913.6683247
184	912.0310098
185	910.7685209
186	908.8205981
187	907.443473
188	905.2450038
189	903.8766483
190	902.3904148
191	901.4336753
192	901.1470812
193	899.7930668
194	898.563876
195	897.305522
196	896.2459849
197	894.6849605
198	893.4608873
199	892.392327
200	891.0472403
201	890.1572142
202	888.9720012
203	887.2711346
204	886.871025
205	886.3406829
206	884.5189774
207	883.2367924
208	882.8184118
209	881.3029424
210	879.9012308
211	879.2110075
212	877.3980985
213	876.2769742
214	875.9293868
215	874.3543452
216	873.3611466
217	872.9672084
218	871.4828163
219	870.31213
220	868.8194335
221	867.9017756
222	867.0319266
223	865.2195009
224	864.3438311
225	863.7334379
226	863.0904441
227	861.8345353
228	861.6369711
229	860.1674182
230	859.5564025
231	859.1693533
232	858.4055759
233	856.3228802
234	855.7360289
235	855.0421139
236	854.7062662
237	853.8763361
238	852.8151657
239	851.7625922
240	850.5108086
241	850.1963046
242	850.0160921
243	848.2022556
244	847.8264076
245	846.6602639
246	845.8223036
247	844.2158329
248	843.2654393
249	841.6873582
250	841.1249847
251	840.8979478
252	840.5981997
253	840.2126612
254	838.4454257
255	837.7989377
256	836.8006169
257	835.414862
258	835.0744586
259	834.3986357
260	833.6172587
261	833.3729465
262	833.0900958
263	832.1798688
264	830.9155747
265	830.5553993
266	828.9996353
267	828.1194869
268	827.1881746
269	826.9560518
270	826.814531
271	825.6401893
272	824.6898913
273	824.4013689
274	823.3241821
275	822.2845181
276	821.7027491
277	820.8085455
278	820.6139919
279	820.1315146
280	819.7543718
281	818.7914049
282	818.6563147
283	817.3853662
284	816.7807753
285	816.2551135
286	816.0318482
287	815.8339397
288	814.8464237
289	814.2567556
290	813.5305731
291	813.1145014
292	812.6297745
293	811.2434611
294	810.8254758
295	810.1363864
296	810.0326257
297	809.5930032
298	809.3057573
299	808.462505
300	807.3433635
301	806.5802332
302	806.3236914
303	805.3818265
304	804.606216
305	804.2556356
306	804.0124095
307	803.7925062
308	802.9641703
309	802.6922087
310	802.3415938
311	802.1285776
312	801.7056657
313	800.8887324
314	800.2470886
315	799.9894917
316	799.6777599
317	799.3278734
318	798.9648843
319	798.5154048
320	798.3484883
321	798.1686183
322	797.9767171
323	797.6102064
324	796.9857899
325	795.7510994
326	795.361824
327	795.1321827
328	794.5127184
329	794.2070564
330	794.1295519
331	793.8671322
332	793.6740793
333	793.1842071
334	792.7528972
335	792.6110822
336	792.1897954
337	791.1476447
338	790.9764632
339	790.6808423
340	790.1318408
341	789.5505364
342	789.2752431
343	789.0332925
344	788.8656742
345	788.74567
346	788.3265473
347	788.0841664
348	787.6139252
349	787.2698817
350	786.8821913
351	786.743065
352	786.0316426
353	785.5055432
354	785.4027436
355	784.7174738
356	784.4465571
357	784.2902112
358	784.1648094
359	783.3963627
360	782.847323
361	782.0876555
362	781.3222367
363	780.4190859
364	779.9818268
365	779.1686251
366	778.0683848
367	777.8071889
368	777.6595062
369	777.3495078
370	776.3791114
371	776.0363819
372	775.8364653
373	775.7001818
374	775.198637
375	774.8405954
376	774.4705453
377	774.3853234
378	774.1401541
379	773.8143444
380	773.3975472
381	772.8290441
382	772.7412646
383	772.4533613
384	771.5933128
385	771.3714796
386	771.1561173
387	770.596323
388	770.2589059
389	769.7925799
390	768.5413845
391	768.4023452
392	767.7214627
393	766.966858
394	766.6047224
395	766.3487967
396	766.037489
397	765.9092918
398	765.5455997
399	764.9516081
400	764.7679909
401	764.6042538
402	763.9826574
403	763.874845
404	763.6495677
405	763.5641161
406	763.2101034
407	763.009923
408	762.5106947
409	762.3160006
410	762.072591
411	761.4485503
412	759.9641149
413	759.2932591
414	758.6596149
415	758.1925971
416	757.8963228
417	757.73938
418	757.4134451
419	757.1355687
420	756.9815569
421	756.8627176
422	756.2593843
423	755.9833473
424	755.8217829
425	755.3816007
426	755.2958745
427	754.7440452
428	754.5772326
429	754.2217513
430	753.9043019
431	753.5775136
432	753.2682242
433	752.4465115
434	752.0296986
435	751.9334867
436	751.8819156
437	751.5956084
438	751.2652731
439	750.4297003
440	750.3441725
441	749.8401998
442	749.3516687
443	749.1621298
444	748.4601393
445	748.1382904
446	747.9077826
447	747.7819366
448	747.6433333
449	747.2627691
450	746.846135
451	746.655369
452	746.2141633
453	746.0380585
454	745.711683
455	745.5015786
456	744.6383319
457	743.9037371
458	743.5020322
459	742.9186501
460	742.5817155
461	742.3697303
462	741.6142996
463	741.4084877
464	741.1964333
465	741.0112349
466	740.9317714
467	740.8388952
468	740.7759599
469	740.6364413
470	740.4782754
471	740.1091599
472	739.4333307
473	739.1611493
474	739.0697954
475	738.5373996
476	738.0145095
477	737.9196152
478	737.7885194
479	737.3244035
480	737.2155249
481	736.9625417
482	736.2145735
483	735.538624
484	735.4614951
485	735.2270502
486	734.800819
487	734.7403349
488	734.4005334
489	733.745904
490	733.4609247
491	733.3738825
492	733.0745305
493	732.9876686
494	732.5602471
495	731.7773172
496	731.4693864
497	730.9513555
498	730.4911488
499	730.3112193
500	730.2469913
501	730.0988182
502	729.3507744
503	729.2465495
504	728.9776032
505	728.7421255
506	728.525461
507	728.4397731
508	727.6573902
509	727.5307529
510	727.2062546
511	727.0927658
512	726.5129232
513	726.2598067
514	725.9166166
515	725.7783635
516	725.3012675
517	725.1589311
518	724.6058493
519	724.4450157
520	723.5995054
521	723.0716407
522	722.6603179
523	722.5499452
524	721.9710237
525	721.5764863
526	721.3471423
527	721.2473098
528	721.1232347
529	721.0030412
530	720.9443216
531	720.5018206
532	720.3247466
533	720.216231
534	720.0919674
535	720.0386967
536	719.6730872
537	719.6093661
538	719.5048642
539	719.2052174
540	719.1439538
541	718.8747183
542	718.751764
543	718.1450291
544	717.52973
545	717.3819387
546	717.1796358
547	717.0989955
548	716.9879507
549	716.8766226
550	716.8009996
551	716.6637864
552	716.3519725
553	716.2903603
554	716.1588637
555	715.653761
556	715.4212533
557	715.1031651
558	714.963002
559	714.7287036
560	714.2772823
561	714.2249524
562	714.1758946
563	713.577193
564	713.2726297
565	713.1583342
566	712.5439703
567	711.9536029
568	711.8849663
569	711.4358842
570	711.2578857
571	711.1944205
572	711.1212162
573	710.8798968
574	710.6705483
575	710.5206569
576	710.3245155
577	709.9243598
578	709.8415327
579	709.6469421
580	709.4275481
581	709.2471069
582	708.8845869
583	708.2389472
584	708.1970258
585	707.9411781
586	707.448255
587	707.0825992
588	707.0471823
589	706.6014843
590	706.210149
591	706.1491452
592	705.8087333
593	705.5480125
594	705.3876499
595	705.2678515
596	705.2032035
597	704.3924276
598	704.2906109
599	703.8476688
600	703.4456767
601	703.3979597
602	703.352317
603	703.2363839
604	702.9083598
605	702.7669617
606	702.6980041
607	702.4093152
608	702.2247468
609	701.9948139
610	701.8935839
611	701.785367
612	701.6553153
613	701.3009031
614	701.2192248
615	701.1936378
616	700.7349255
617	700.6126991
618	700.45393
619	699.9307792
620	699.6647358
621	699.4959416
622	699.1545149
623	699.0772347
624	699.0094734
625	698.6224322
626	698.2551969
627	698.0825982
628	697.9834931
629	697.9102084
630	697.8590235
631	697.6233616
632	697.3876309
633	697.227737
634	697.0791406
635	696.6451501
636	696.6254415
637	696.5616902
638	696.4325875
639	696.3322087
640	696.3098422
641	696.1005856
642	696.0847873
643	696.0174749
644	695.910768
645	695.7348448
646	695.4832371
647	695.3516306
648	695.3352118
649	695.2241168
650	694.9134336
651	694.8173216
652	694.5765941
653	694.4961934
654	694.458351
655	694.3833809
656	694.1900781
657	694.0470727
658	693.8324949
659	693.773959
660	693.667274
661	693.4683143
662	693.2145853
663	693.1831091
664	692.8293218
665	692.7007989
666	692.6576666
667	692.4878913
668	692.2768763
669	692.0329356
670	691.9073839
671	691.8091777
672	690.9765189
673	690.8897609
674	690.5346139
675	690.467838
676	690.4192879
677	690.0789813
678	689.9077148
679	689.4684003
680	689.3108538
681	689.0796284
682	688.8677918
683	688.6756789
684	688.6298945
685	688.5073286
686	688.3457121
687	688.1529382
688	687.9635001
689	687.933489
690	687.8560707
691	687.6206644
692	687.0131372
693	686.7769712
694	686.6179607
695	686.4418009
696	686.2732921
697	686.168059
698	685.7909072
699	685.7047985
700	685.5680812
701	685.0448833
702	684.9803613
703	684.9029483
704	684.8241962
705	684.7437103
706	684.6925734
707	684.5466678
708	684.5033812
709	684.4169622
710	684.2954655
711	684.1879694
712	683.7947129
713	683.3518635
714	683.2459594
715	683.1314374
716	682.3639883
717	682.1379377
718	681.7652337
719	681.6305541
720	681.2555911
721	681.232782
722	681.1693509
723	681.0597461
724	680.8323282
725	680.6123478
726	680.5600903
727	680.5213594
728	680.3555364
729	679.960344
730	679.76196
731	679.7253987
732	679.4849249
733	679.270829
734	679.1262661
735	678.8168847
736	678.4221392
737	677.8470618
738	677.8169858
739	677.7090498
740	677.5362629
741	677.3032916
742	677.1909264
743	677.1199507
744	677.0419317
745	676.9093961
746	676.8208076
747	676.5719875
748	676.5173137
749	676.2409478
750	676.1970315
751	675.9379863
752	675.8973973
753	675.867164
754	675.8145694
755	675.5136298
756	675.4424594
757	675.1598122
758	674.9565714
759	674.4101191
760	673.950014
761	673.6036263
