iter	Passed	Remaining
0	863	2588565
1	1622	2432072
2	2230	2228462
3	2933	2196969
4	3732	2235556
5	4476	2233840
6	5186	2217409
7	6096	2280145
8	7064	2347650
9	8000	2392173
10	8891	2416085
11	9903	2465928
12	10837	2490108
13	11532	2459723
14	12354	2458584
15	13376	2494640
16	14215	2494483
17	14884	2465844
18	15649	2455265
19	16545	2465322
20	17340	2459915
21	18060	2444762
22	18759	2428130
23	19444	2411116
24	20101	2392054
25	20848	2384775
26	21591	2377423
27	22367	2374142
28	23038	2360204
29	23736	2349936
30	24332	2330403
31	24889	2308481
32	25557	2297807
33	26244	2289476
34	27055	2291956
35	27794	2288376
36	28450	2278320
37	29100	2268332
38	29638	2250231
39	30323	2243910
40	30989	2236563
41	31741	2235532
42	32532	2237195
43	33186	2229548
44	33764	2217205
45	34417	2210178
46	35264	2215691
47	35889	2207198
48	36391	2191677
49	36962	2180768
50	37539	2170638
51	38064	2157964
52	38622	2147582
53	39197	2138455
54	39870	2134883
55	40619	2135444
56	41381	2136605
57	41934	2127107
58	42520	2119530
59	43041	2109022
60	43628	2102047
61	44162	2092738
62	44675	2082725
63	45209	2073975
64	45688	2063011
65	46148	2051506
66	46717	2045122
67	47277	2038505
68	47779	2029577
69	48285	2021073
70	48732	2010372
71	49282	2004163
72	49803	1996927
73	50256	1987165
74	50764	1979809
75	51241	1971446
76	51731	1963780
77	52250	1957390
78	52742	1950133
79	53226	1942754
80	53780	1938092
81	54281	1931619
82	54773	1924983
83	55324	1920540
84	55801	1913654
85	56323	1908436
86	56897	1905077
87	57361	1898149
88	57895	1893635
89	58384	1887759
90	58801	1879694
91	59162	1870059
92	59520	1860505
93	59880	1851198
94	60240	1842087
95	60660	1834994
96	61025	1826373
97	61440	1819394
98	61823	1811624
99	62200	1803808
100	62575	1796094
101	62956	1788706
102	63333	1781320
103	63714	1774190
104	64189	1769805
105	64614	1764087
106	65002	1757510
107	65390	1751018
108	65792	1745022
109	66180	1738751
110	66583	1732964
111	66994	1727497
112	67402	1722036
113	67757	1715332
114	68098	1708378
115	68459	1702056
116	68829	1696031
117	69195	1690019
118	69596	1684943
119	69985	1679647
120	70437	1675954
121	70827	1670837
122	71235	1666217
123	71646	1661731
124	72021	1656505
125	72403	1651495
126	72783	1646500
127	73148	1641262
128	73522	1636307
129	73881	1631085
130	74267	1626525
131	74621	1621315
132	75031	1617408
133	75441	1613543
134	75754	1607685
135	76100	1602588
136	76540	1599531
137	76934	1595563
138	77359	1592275
139	77781	1588961
140	78403	1589750
141	79114	1592314
142	79507	1588490
143	79910	1584887
144	80323	1581533
145	80708	1577691
146	81043	1572904
147	81458	1569731
148	81838	1565915
149	82231	1562403
150	82633	1559089
151	83014	1555427
152	83427	1552411
153	83791	1548517
154	84201	1545500
155	84562	1541638
156	84972	1538712
157	85411	1536327
158	85778	1532677
159	86182	1529730
160	86736	1529466
161	87159	1526912
162	87526	1523388
163	87959	1521053
164	88383	1518586
165	88761	1515353
166	89186	1512962
167	89595	1510324
168	89964	1507030
169	90366	1504333
170	90701	1500544
171	91080	1497530
172	91492	1495086
173	91896	1492525
174	92370	1491121
175	92727	1487852
176	93076	1484490
177	93369	1480277
178	93722	1477046
179	94034	1473213
180	94447	1470974
181	94735	1466843
182	95075	1463538
183	95446	1460745
184	95867	1458733
185	96218	1455688
186	96574	1452750
187	96947	1450089
188	97279	1446837
189	97653	1444236
190	97998	1441251
191	98426	1439485
192	98794	1436868
193	99201	1434836
194	99642	1433325
195	100277	1434583
196	100863	1435130
197	101340	1434121
198	101665	1430975
199	102053	1428749
200	102425	1426312
201	102832	1424377
202	103231	1422350
203	103543	1419161
204	103917	1416826
205	104307	1414729
206	104708	1412811
207	105064	1410284
208	105427	1407882
209	105769	1405219
210	106182	1403517
211	106583	1401677
212	107086	1401168
213	107580	1400558
214	107930	1398070
215	108372	1396806
216	108779	1395078
217	109178	1393276
218	109547	1391103
219	110030	1390387
220	110362	1387766
221	110726	1385582
222	111133	1383940
223	111490	1381683
224	111845	1379422
225	112271	1378064
226	112627	1375839
227	112979	1373590
228	113338	1371446
229	113670	1368984
230	114089	1367586
231	114525	1366409
232	114940	1364981
233	115318	1363125
234	115762	1362053
235	116152	1360362
236	116521	1358429
237	117022	1358054
238	117426	1356546
239	117846	1355232
240	118283	1354125
241	118656	1352293
242	119080	1351046
243	119546	1350290
244	119976	1349128
245	120389	1347769
246	120796	1346364
247	121278	1345799
248	121680	1344354
249	122101	1343117
250	122467	1341289
251	122816	1339280
252	123280	1338539
253	123680	1337109
254	124137	1336304
255	124538	1334892
256	124937	1333471
257	125348	1332197
258	125779	1331121
259	126247	1330458
260	126661	1329220
261	127111	1328366
262	127529	1327179
263	127905	1325569
264	128246	1323600
265	128652	1322312
266	129024	1320684
267	129424	1319358
268	129777	1317551
269	130446	1318954
270	130889	1318071
271	131305	1316913
272	131661	1315172
273	132037	1313625
274	132398	1311945
275	132770	1310389
276	133154	1308952
277	133535	1307492
278	133920	1306089
279	134266	1304303
280	134633	1302738
281	134999	1301161
282	135401	1299947
283	135847	1299164
284	136264	1298101
285	136645	1296702
286	137009	1295145
287	137417	1294010
288	137833	1292966
289	138285	1292257
290	138679	1291005
291	139137	1290361
292	139533	1289139
293	139897	1287630
294	140293	1286415
295	140667	1285018
296	141079	1283967
297	141513	1283121
298	141921	1282038
299	142371	1281347
300	142790	1280374
301	143150	1278876
302	143561	1277839
303	143960	1276706
304	144357	1275550
305	144755	1274416
306	145207	1273755
307	145597	1272559
308	145969	1271213
309	146387	1270266
310	146815	1269413
311	147240	1268533
312	147685	1267833
313	148137	1267191
314	148554	1266250
315	148982	1265411
316	149425	1264695
317	149808	1263479
318	150214	1262462
319	150613	1261384
320	151111	1261145
321	151545	1260372
322	151930	1259189
323	152411	1258807
